PositionGroup,Weather,Temperature,FieldType,StadiumType,Injured
DB,Cloudy,68,Natural,Outdoor,0
TE,Sunny,67,Natural,Outdoor,0
DL,Cloudy,44,Synthetic,Outdoor,0
LB,Sunny,51,Natural,Outdoors,0
LB,Partly Cloudy,79,Synthetic,Indoors,0
LB,Cloudy,68,Synthetic,Retr. Roof-Closed,0
LB,Sunny,51,Natural,Outdoor,0
LB,Cloudy,25,Natural,Outdoor,0
OL,Clear,44,Natural,Outdoor,0
DB,Sunny,63,Natural,Outdoor,0
DL,Cloudy,42,Synthetic,Outdoors,0
DL,Cloudy,19,Natural,Outdoor,0
DL,Sunny and clear,43,Natural,Outdoor,0
LB,Sunny,68,Natural,Outdoor,0
WR,Clear,10,Natural,Outdoor,0
DB,Cloudy,39,Synthetic,Outdoor,0
DL,Cloudy,61,Natural,Outdoor,0
OL,Cloudy,80,Natural,Outdoor,0
OL,Cloudy,79,Natural,Outdoor,0
OL,Sunny,47,Synthetic,Retr. Roof-Open,0
WR,Rain,58,Natural,Outdoor,0
OL,Cloudy,23,Natural,Outdoor,0
DL,Sunny,53,Natural,Outdoor,0
DL,Cloudy,45,Synthetic,Outdoor,0
WR,Sunny,59,Synthetic,"Domed, open",0
DB,Rain,66,Natural,Outdoors,0
LB,Indoor,70,Synthetic,Indoors,0
LB,Clear,44,Natural,Outdoors,0
OL,Cloudy,45,Synthetic,Outdoor,0
DB,Cloudy,65,Natural,Outdoor,0
OL,Clear,55,Natural,Outdoor,0
DB,Rain,67,Natural,Outdoor,0
LB,Sunny,70,Natural,Outdoors,0
TE,Clear,33,Natural,Outdoor,0
OL,Clear,61,Natural,Outdoor,0
LB,Mostly cloudy,67,Synthetic,"Domed, open",0
DB,Mostly Cloudy,84,Synthetic,Retractable Roof,0
DB,Sunny,36,Natural,Outdoor,0
LB,Partly Cloudy,42,Natural,Outdoors,0
QB,Mostly Cloudy,66,Synthetic,Outdoor,0
DB,Partly Cloudy,48,Natural,Oudoor,0
OL,Partly Cloudy,46,Natural,Outdoor,0
DB,Sunny,70,Natural,Dome,0
OL,Cloudy,23,Natural,Outdoor,0
DB,Partly Cloudy,47,Synthetic,Outdoor,0
WR,Mostly Cloudy,35,Synthetic,Outdoor,0
LB,10% Chance of Rain,78,Natural,Open,0
OL,Partly Cloudy,84,Natural,Open,0
OL,Rain Chance 40%,97,Natural,Open,0
LB,Cloudy,36,Natural,Outdoor,0
WR,Cloudy,68,Natural,Outdoor,0
OL,Sunny,60,Natural,Outdoor,0
LB,Partly Cloudy,31,Synthetic,Outdoor,0
DB,Partly Sunny,87,Natural,Outdoor,0
DB,Partly Cloudy,72,Natural,Outdoor,0
DB,Sunny,92,Natural,Outdoor,0
WR,Partly Cloudy,78,Synthetic,Retractable Roof,0
LB,Sunny,92,Natural,Outdoor,0
WR,Clear,68,Synthetic,Outdoor,0
DB,Controlled Climate,68,Synthetic,Indoors,0
LB,Cloudy,72,Natural,Outdoors,0
LB,Cloudy,33,Natural,Heinz Field,0
LB,Partly Cloudy,89,Synthetic,Retractable Roof,0
WR,Mostly Cloudy,51,Natural,Outdoor,0
RB,Partly Cloudy,62,Natural,Outdoor,0
OL,Light Rain,61,Natural,Outdoor,0
OL,Sunny and clear,43,Natural,Outdoor,0
WR,Partly Cloudy,56,Natural,Outdoor,0
DB,Sunny,80,Natural,Outdoors,0
DB,Sunny,56,Synthetic,Outdoor,0
TE,Rain,60,Natural,Outdoor,0
DB,Controlled Climate,68,Synthetic,Indoors,0
TE,Sunny,41,Natural,Outdoors,0
WR,Clear,71,Natural,Outdoor,0
LB,Controlled Climate,68,Synthetic,Indoors,0
RB,Cloudy,48,Natural,Outdoor,0
OL,Cloudy,53,Natural,Outdoor,0
LB,Cloudy,19,Natural,Outdoor,0
WR,Partly Cloudy,86,Synthetic,Indoors,0
SPEC,Mostly Cloudy,51,Synthetic,Outdoor,0
DB,Sunny,83,Synthetic,Outdoors,0
OL,Sunny,84,Natural,Outdoor,0
LB,Clear,82,Natural,Dome,0
DL,Partly Cloudy,85,Synthetic,Retractable Roof,0
LB,Mostly Sunny,87,Synthetic,Outdoor,0
QB,Cloudy,73,Synthetic,Outdoor,0
DL,Cloudy,49,Natural,Outdoor,0
WR,Rain,62,Synthetic,Outdoor,0
OL,Partly Cloudy,48,Natural,Oudoor,0
WR,Clear,71,Natural,Outdoor,0
LB,Cloudy,33,Synthetic,Retr. Roof-Closed,0
DB,Clear,79,Natural,Outdoor,0
OL,Light Rain,61,Natural,Outdoor,0
LB,"Cloudy, fog started developing in 2nd quarter",56,Synthetic,Outdoor,0
DB,Clear and cold,40,Synthetic,Outdoor,0
LB,Clear,79,Natural,Outdoor,0
LB,Clear skies,74,Synthetic,Indoor,0
DB,Sunny,54,Synthetic,Indoors,0
DB,Clear,55,Natural,Outdoor,0
LB,Clear,57,Natural,Outdor,0
DB,"Sunny, Windy",55,Natural,Outdoor,0
RB,Sunny,46,Natural,Outdoors,0
TE,Clear,33,Natural,Outdoor,0
DB,Clear,82,Natural,Dome,0
DB,Cloudy,42,Natural,Outdoor,0
OL,Clear and Sunny,56,Natural,Outdoor,0
LB,Partly Cloudy,84,Synthetic,Indoors,0
TE,Sunny,74,Natural,Outdoor,0
DB,Showers,77,Natural,Outdoor,0
DB,Cloudy,61,Natural,Outdoor,0
DB,"Sunny, Windy",55,Natural,Outdoor,0
OL,Cloudy,65,Natural,Outdoor,0
QB,Partly Cloudy,84,Synthetic,Indoors,0
DB,Clear,55,Natural,Outdoor,0
DL,Cloudy,76,Natural,Outdoor,0
OL,Sunny,84,Natural,Outdoor,0
DB,Cloudy,91,Natural,Outdoor,0
LB,Partly Cloudy,42,Natural,Outdoors,0
QB,Clear and cold,40,Synthetic,Outdoor,0
DB,Sunny,66,Natural,Outdoor,0
LB,Partly Cloudy,54,Synthetic,Outdoor,0
RB,Partly cloudy,46,Synthetic,Outdoors,0
OL,Partly Cloudy,33,Natural,Outdoor,0
OL,Sunny,88,Natural,Outddors,0
DB,Sunny,60,Natural,Outdoors,0
LB,Partly Cloudy,86,Synthetic,Indoors,0
WR,Mostly cloudy,48,Synthetic,Outdoors,0
DB,Mostly Cloudy,37,Natural,Outdoor,0
WR,Partly Cloudy,48,Natural,Outdoor,0
LB,Partly Cloudy,55,Natural,Outdoor,0
OL,Cloudy and Cool,62,Synthetic,Outdoor,0
DL,Rain,63,Synthetic,Outdoor,0
WR,Cloudy,26,Natural,Outdoor,0
DB,Mostly Sunny,56,Natural,Outdoor,0
DL,Clear,40,Natural,Outdoors,0
DB,Partly clear,60,Synthetic,"Domed, open",0
LB,Partly Cloudy,78,Synthetic,Retractable Roof,0
DB,Partly Cloudy,89,Natural,Outdoor,0
WR,Mostly cloudy,22,Synthetic,Outdoors,0
DB,Cloudy,52,Natural,Outdoor,0
DB,Cloudy,42,Natural,Outdoors,0
LB,Cloudy,68,Natural,Outdoor,0
DL,Cloudy,48,Natural,Outdoor,0
DB,Cloudy,61,Natural,Outdoor,0
LB,Cloudy,36,Natural,Outdoor,0
DB,Partly Cloudy,86,Natural,Outdoor,0
DB,Cloudy,59,Synthetic,Retr. Roof - Closed,0
DB,Rain,53,Synthetic,Outdoor,0
LB,Cloudy,39,Synthetic,Outdoor,0
DB,Cloudy,43,Natural,Outdoor,0
DB,Mostly Cloudy,60,Natural,Outdoor,0
WR,Cloudy,81,Natural,Outdoors,0
OL,Cloudy,48,Natural,Outdoor,0
WR,Mostly sunny,49,Synthetic,Outdoors,0
DB,Clear,78,Synthetic,"Indoor, Open Roof",0
WR,Sunny,63,Natural,Outdoor,0
DL,Clear,76,Natural,Outdoor,0
LB,Sunny,79,Natural,Outdoors,0
DB,Partly Cloudy,29,Natural,Outdoor,0
TE,Sunny,47,Synthetic,Outdoor,0
DB,Mostly sunny,73,Synthetic,Retr. Roof - Open,0
QB,Sunny,57,Synthetic,Indoors,0
OL,Cloudy,33,Synthetic,Outdoors,0
RB,Mostly Sunny,68,Natural,Outdoor,0
LB,Clear,76,Natural,Outdoor,0
DL,Partly Cloudy,86,Synthetic,Indoors,0
LB,Fair,45,Natural,Outdoor,0
WR,Sunny,44,Synthetic,Retr. Roof - Closed,0
RB,Partly Cloudy,84,Synthetic,Indoors,0
LB,Sunny,65,Natural,Outdoor,0
OL,Mostly cloudy,48,Synthetic,Outdoors,0
LB,Cloudy,61,Natural,Outdoor,0
DB,Mostly Cloudy,84,Synthetic,Retractable Roof,0
DB,Fair,31,Synthetic,Outdoors,0
DB,Cloudy,72,Synthetic,Retr. Roof Closed,0
LB,Sunny,82,Natural,Outdoors,0
LB,Indoors,68,Synthetic,Domed,0
TE,Clear,87,Natural,Outdoor,0
DB,Partly Cloudy,48,Natural,Outdoors,0
WR,Controlled Climate,68,Synthetic,Indoors,0
LB,Partly Cloudy,29,Natural,Outdoor,0
DL,Sunny,80,Synthetic,Retractable Roof,0
WR,Cloudy,65,Natural,Outdoor,0
DL,Clear,82,Natural,Outdoor,0
DB,Clear,44,Natural,Outdoor,0
TE,cloudy,66,Natural,Outdoor,0
OL,Partly Cloudy,89,Natural,Outdoor,0
DB,Cloudy,67,Natural,Outdoor,0
DB,Sunny,27,Natural,Outdoor,0
TE,Cloudy,53,Natural,Outdoors,0
WR,Cloudy,91,Natural,Outdoor,0
OL,Partly Cloudy,47,Synthetic,Outdoor,0
WR,Clear,90,Synthetic,Indoors,0
DL,Mostly cloudy,67,Synthetic,"Domed, open",0
DB,Sunny and cold,33,Synthetic,Outdoor,0
LB,Indoors,53,Synthetic,Dome,0
LB,Cloudy,44,Synthetic,Outdoors,0
DB,Clear,76,Natural,Outdoor,0
OL,Sunny,83,Synthetic,Outdoors,0
DB,Partly Cloudy,29,Natural,Outdoor,0
LB,Partly Cloudy,84,Natural,Open,0
OL,Cloudy,43,Natural,Outdoor,0
LB,Sunny,59,Synthetic,"Domed, open",0
LB,Clear,40,Natural,Outdoors,0
DL,Sunny,83,Natural,Outdoors,0
DB,Cloudy,62,Natural,Outdoor,0
RB,Sunny,68,Natural,Outdoor,0
OL,Cloudy,33,Natural,Outdoor,0
OL,Clear,71,Natural,Outdoor,0
DB,Sunny,70,Natural,Dome,0
OL,Clear skies,74,Synthetic,Indoor,0
DL,Cloudy,33,Natural,Heinz Field,0
LB,Cloudy,19,Natural,Outdoor,0
LB,Cloudy,48,Synthetic,Outdoor,0
OL,Sunny,84,Natural,Outdoor,0
DB,Sunny,72,Natural,Dome,0
OL,Sunny,88,Natural,Outddors,0
LB,Mostly Cloudy,25,Natural,Outdoor,0
DL,Sunny,83,Natural,Outdoors,0
DB,Cloudy,83,Natural,Outdoor,0
DL,Light Rain,63,Synthetic,Outdoor,0
DB,Sunny,43,Synthetic,Outdoors,0
LB,Partly Cloudy,70,Natural,Open,0
DB,Mostly Cloudy,51,Natural,Outdoor,0
LB,Indoors,53,Synthetic,Dome,0
WR,Cloudy,77,Natural,Outdoor,0
RB,Partly Cloudy,54,Synthetic,Outdoor,0
OL,Sunny,80,Synthetic,Outdoor,0
DB,Mostly cloudy,48,Synthetic,Outdoors,0
DB,Cloudy,43,Natural,Outdoor,0
WR,Mostly cloudy,67,Synthetic,"Domed, open",0
DB,Cloudy,29,Natural,Outdoor,0
WR,Sunny,88,Synthetic,Outdoor,0
DB,Partly Cloudy,33,Natural,Outdoor,0
WR,Mostly sunny,73,Synthetic,Retr. Roof - Open,0
LB,Sun & clouds,65,Synthetic,Outdoors,0
DB,Mostly Sunny,41,Natural,Outdoor,0
DB,Sunny,60,Natural,Outdoor,0
WR,Rain,58,Natural,Outdoor,0
DL,Partly Cloudy,79,Natural,Outdoor,0
LB,"Cloudy, light snow accumulating 1-3""",24,Natural,Outdoor,0
OL,Partly Cloudy,48,Natural,Oudoor,0
OL,Partly Sunny,54,Natural,Outdoor,0
OL,Scattered Showers,89,Natural,Outdoor,0
LB,Cloudy,29,Natural,Outdoor,0
TE,Cloudy,43,Natural,Outdoor,0
DB,Sunny,66,Natural,Outdoor,0
LB,"Cloudy, chance of rain",61,Synthetic,Outdoor,0
WR,Clear,82,Natural,Outdoor,0
OL,Cloudy,40,Natural,Outdoors,0
WR,Clear,71,Natural,Outdoor,0
OL,Cloudy,62,Synthetic,Outdoors,0
DB,Partly Cloudy,84,Synthetic,Indoors,0
DB,Cloudy,65,Natural,Outdoor,0
TE,cloudy,66,Natural,Outdoor,0
OL,Cloudy,17,Natural,Outdoor,0
OL,"Cloudy, 50% change of rain",55,Synthetic,Outdoor,0
DB,Partly Cloudy,84,Synthetic,Indoors,0
DB,Sunny,70,Natural,Dome,0
WR,Controlled Climate,68,Synthetic,Indoors,0
DL,"Sunny, highs to upper 80s",89,Natural,Outdoor,0
DL,Clear,69,Natural,Outdoor,0
RB,Sunny,72,Natural,Outdoors,0
WR,Sun & clouds,65,Synthetic,Outdoors,0
LB,Sunny,61,Natural,Outdoor,0
OL,Cloudy,81,Natural,Outdoor,0
DL,Clear,82,Natural,Outdoor,0
DB,Cloudy and cold,13,Synthetic,Outdoor,0
DL,Sunny,68,Synthetic,Outdoor,0
OL,Overcast,54,Natural,Outdoor,0
DB,Mostly cloudy,22,Synthetic,Outdoors,0
DB,Sunny,82,Natural,Outdoors,0
DL,Clear,79,Natural,Outdoor,0
WR,Cloudy,91,Natural,Outdoor,0
DB,Mostly Cloudy,25,Natural,Outdoor,0
DL,Partly Cloudy,55,Natural,Outdoor,0
LB,Indoor,70,Synthetic,Indoors,0
DL,Partly Cloudy,54,Synthetic,Outdoor,0
OL,Partly Cloudy,86,Natural,Outdoor,0
WR,Partly Cloudy,48,Natural,Outdoor,0
WR,Sunny,27,Natural,Outdoor,0
WR,Clear,59,Natural,Outdoor,0
DB,Cloudy,81,Natural,Outdoor,0
LB,Cloudy,17,Natural,Outdoor,0
WR,Partly Cloudy,71,Natural,Outdoor,0
DL,Cloudy,29,Natural,Outdoor,0
OL,Cloudy,33,Natural,Outdoor,0
OL,Sunny,65,Natural,Outdoor,0
LB,Mostly Cloudy,80,Natural,Outdoor,0
WR,Mostly Coudy,69,Synthetic,Outdoor,0
DB,Partly Cloudy,46,Natural,Outdoor,0
DL,Cloudy,65,Natural,Outdoor,0
OL,Cloudy,62,Synthetic,Outdoors,0
RB,Clear,82,Natural,Outdoor,0
DL,Clear,69,Natural,Outdoor,0
WR,Partly Cloudy,85,Synthetic,Retractable Roof,0
WR,Clear,55,Natural,Outdoor,0
DL,Partly Cloudy,86,Natural,Outdoor,0
RB,Sunny,53,Natural,Outdoor,0
LB,Cloudy,81,Natural,Outdoors,0
OL,Partly Cloudy,79,Natural,Outdoor,0
DB,Scattered Showers,89,Natural,Outdoor,0
WR,Sunny,66,Natural,Outdoor,0
LB,10% Chance of Rain,78,Natural,Open,0
DL,Clear,69,Natural,Outdoor,0
LB,Cloudy,48,Synthetic,Outdoor,0
DL,Sunny,72,Synthetic,Retractable Roof,0
LB,Sunny,92,Natural,Outdoor,0
WR,Clear,68,Synthetic,Outdoor,0
WR,Fair,31,Synthetic,Outdoors,0
OL,Sunny,92,Natural,Outdoor,0
DB,Rain,60,Natural,Outdoor,0
OL,Cloudy,80,Natural,Outdoor,0
WR,Sunny,72,Synthetic,Retractable Roof,0
LB,Sunny,74,Synthetic,Outdoors,0
OL,Partly cloudy,70,Natural,Outdoor,0
LB,Controlled Climate,68,Synthetic,Indoors,0
DB,Cloudy,91,Natural,Outdoor,0
LB,Cloudy,81,Natural,Outdoor,0
RB,Cloudy,44,Synthetic,Outdoor,0
DL,Sunny,70,Natural,Dome,0
DB,Clear,55,Natural,Outdoor,0
RB,Cloudy,73,Synthetic,Outdoor,0
WR,Cloudy,25,Natural,Outdoor,0
DB,Partly Cloudy,48,Natural,Oudoor,0
DB,Partly Cloudy,84,Natural,Open,0
DL,Rain,36,Synthetic,Outdoor,0
OL,Sunny,64,Synthetic,Outdoor,0
OL,Sunny,68,Natural,Outdoor,0
OL,Clear,61,Natural,Outdoor,0
DB,Partly Cloudy,85,Synthetic,Retractable Roof,0
LB,Sunny,55,Natural,Outdoor,0
WR,Clear to Partly Cloudy,83,Natural,Outdoor,0
QB,Indoors,53,Synthetic,Dome,0
DB,Clear,88,Natural,Outdoor,0
WR,Rain,36,Synthetic,Outdoor,0
DB,Sunny,79,Natural,Outdoors,0
DB,Sunny,46,Natural,Outdoor,0
DB,Cloudy,44,Natural,Outdoor,0
DB,Partly Cloudy,29,Natural,Outdoor,0
OL,Sunny,46,Synthetic,Outdoor,0
OL,Sunny,62,Natural,Outdoors,0
WR,Controlled Climate,68,Synthetic,Indoors,0
DB,Cloudy,91,Natural,Outdoor,0
DB,Partly sunny,9,Synthetic,Retr. Roof-Closed,0
OL,Partly Cloudy,89,Natural,Outdoor,0
TE,Sunny,60,Synthetic,Retractable Roof,0
LB,Cloudy,49,Natural,Outdoor,0
LB,Sunny,89,Natural,Outdoor,0
OL,Cloudy,80,Natural,Outdoor,0
WR,Partly Cloudy,64,Natural,Bowl,0
WR,Cloudy,49,Natural,Outdoor,0
WR,Partly Cloudy,84,Synthetic,Indoors,0
WR,Partly Cloudy,64,Natural,Bowl,0
LB,Partly clear,60,Synthetic,"Domed, open",0
DB,Mostly Sunny,39,Synthetic,Outdoor,0
RB,cloudy,66,Natural,Outdoor,0
OL,Cloudy,42,Synthetic,Retr. Roof-Closed,0
DB,Cloudy,65,Natural,Outdoor,0
DB,Sunny,90,Natural,Outdoor,0
DB,Sunny,54,Natural,Outdoor,0
LB,Partly sunny,78,Synthetic,Retr. Roof-Closed,0
DB,Cloudy,48,Natural,Outdoor,0
WR,Sunny,46,Synthetic,Outdoor,0
LB,Cloudy,47,Natural,Outdoors,0
LB,Partly Cloudy,31,Synthetic,Outdoor,0
WR,Partly Cloudy,89,Natural,Outdoor,0
DB,Sunny,51,Natural,Outdoors,0
DB,Sunny,92,Natural,Outdoor,0
OL,Sunny,45,Natural,Outdoor,0
LB,Sunny,70,Natural,Outdoors,0
LB,Partly Cloudy,79,Natural,Outdoor,0
DB,Partly Cloudy,31,Synthetic,Outdoor,0
WR,Cloudy,68,Natural,Outdoor,0
DL,Snow,11,Natural,Outdoors,0
DB,Partly Cloudy,86,Natural,Outdoor,0
WR,Sunny,36,Natural,Outdoor,0
OL,Cloudy,53,Natural,Outdoor,0
RB,Partly Cloudy,86,Natural,Outdoor,0
LB,Sunny,60,Synthetic,Retractable Roof,0
DB,Mostly Cloudy,72,Natural,Outdoor,0
OL,Cloudy,45,Synthetic,Outdoor,0
LB,Cloudy,77,Synthetic,Indoors,0
DB,Cloudy,45,Synthetic,Outdoor,0
LB,Clear,10,Natural,Outdoor,0
TE,cloudy,66,Natural,Outdoor,0
DB,Cloudy,81,Natural,Outdoors,0
WR,Partly Clouidy,60,Natural,Outdoor,0
LB,Controlled Climate,68,Synthetic,Indoors,0
OL,Sunny,87,Synthetic,Retractable Roof,0
OL,"Cloudy, 50% change of rain",55,Synthetic,Outdoor,0
RB,Clear and warm,63,Synthetic,Outdoor,0
WR,Partly Cloudy,71,Natural,Outdoor,0
TE,Hazy,62,Natural,Outdoor,0
OL,Cold,38,Natural,Outdoor,0
DB,Sunny,67,Natural,Outdoors,0
LB,Sunny,56,Synthetic,Indoors,0
OL,Rain,66,Natural,Outdoors,0
OL,Sunny,63,Natural,Outdoor,0
OL,Partly Cloudy,46,Synthetic,Outdoor,0
DB,Cloudy,67,Natural,Outdoor,0
DB,Clear,76,Natural,Outdoor,0
WR,Partly Cloudy,83,Synthetic,Retractable Roof,0
OL,Mostly cloudy,48,Synthetic,Outdoors,0
OL,Clear,71,Natural,Dome,0
OL,Clear and warm,63,Synthetic,Outdoor,0
DB,Cloudy,77,Synthetic,Outdoor,0
LB,Fair,50,Natural,Outdoor,0
OL,Cloudy,25,Synthetic,Retr. Roof - Closed,0
RB,Cloudy,68,Natural,Outdoor,0
DB,Sunny,53,Natural,Outdoor,0
LB,Sunny,59,Synthetic,"Domed, open",0
OL,Sunny,72,Natural,Outdoors,0
DL,Light Rain,63,Synthetic,Outdoor,0
LB,Clear,37,Natural,Outdoor,0
LB,Clear skies,54,Synthetic,Outdoors,0
DB,Mostly cloudy,22,Synthetic,Outdoors,0
DB,Clear,79,Natural,Outdoor,0
DB,Mostly Sunny,39,Synthetic,Outdoor,0
DB,Cloudy,44,Natural,Outdoor,0
OL,Controlled Climate,68,Synthetic,Indoors,0
OL,Cloudy,84,Synthetic,Indoors,0
DB,Partly Cloudy,56,Natural,Outdoor,0
DL,Partly Cloudy,64,Natural,Bowl,0
DL,Clear,79,Natural,Outdoor,0
LB,Cloudy,33,Natural,Heinz Field,0
WR,Clear,75,Natural,Outdoor,0
DL,Partly Cloudy,89,Natural,Outdoor,0
WR,Controlled Climate,68,Synthetic,Indoors,0
WR,Sunny,83,Synthetic,Outdoors,0
OL,Sunny Skies,57,Natural,Outdoor,0
DB,Cloudy and Cool,62,Synthetic,Outdoor,0
DB,Controlled Climate,68,Synthetic,Indoors,0
OL,Controlled Climate,68,Synthetic,Indoors,0
DB,Clear,75,Natural,Outdoor,0
OL,Cloudy,26,Natural,Outdoor,0
LB,Rain,67,Natural,Outdoor,0
OL,Mostly Cloudy,66,Synthetic,Outdoor,0
DB,Cloudy,73,Synthetic,Outdoor,0
DB,Partly Cloudy,33,Natural,Outdoor,0
WR,"Rain likely, temps in low 40s.",39,Natural,Outdoor,0
DB,Fair,83,Synthetic,Outdoors,0
DL,Cloudy and Cool,62,Synthetic,Outdoor,0
WR,Cloudy,45,Synthetic,Outdoor,0
OL,Partly Cloudy,89,Natural,Outdoor,0
DB,Sunny,63,Natural,Outdoor,0
DB,Mostly Sunny,87,Synthetic,Outdoor,0
WR,Sunny,72,Synthetic,Retractable Roof,0
DB,Clear and cold,40,Synthetic,Outdoor,0
LB,Cloudy,78,Natural,Cloudy,0
OL,Clear,44,Natural,Outdoor,0
DB,Sunny,72,Natural,Dome,0
QB,Sunny,54,Natural,Outdoor,0
DL,Partly Cloudy,42,Natural,Outdoors,0
OL,Mostly cloudy,57,Synthetic,Retr. Roof - Closed,0
OL,Partly Cloudy,48,Natural,Oudoor,0
OL,Partly Cloudy,86,Natural,Outdoor,0
LB,Partly cloudy,70,Natural,Outdoor,0
OL,Mostly cloudy,57,Synthetic,Retr. Roof - Closed,0
OL,Clear,75,Natural,Outdoor,0
DB,Cloudy,35,Synthetic,Outdoor,0
RB,Cloudy,37,Natural,Outdoor,0
QB,Partly cloudy,70,Natural,Outdoor,0
TE,Sunny,55,Natural,Outdoor,0
OL,Partly Cloudy,89,Synthetic,Retractable Roof,0
DL,Clear,79,Natural,Outdoor,0
OL,Sunny,84,Natural,Outdoor,0
DL,Cloudy,72,Natural,Outdoors,0
WR,Sunny,44,Synthetic,Retr. Roof - Closed,0
OL,Sunny,54,Natural,Open,0
LB,Cloudy,53,Synthetic,Outdoor,0
DB,Partly Sunny,69,Natural,Outdoor,0
WR,Cloudy,77,Synthetic,Indoors,0
OL,Sunny,64,Synthetic,Outdoor,0
DB,Sunny,83,Synthetic,Outdoors,0
DB,Sunny Skies,57,Natural,Outdoor,0
RB,Rain,66,Natural,Outdoors,0
OL,Clear,55,Natural,Outdoor,0
DB,Sunny,52,Natural,Outdoor,0
LB,Showers,77,Natural,Outdoor,0
LB,Partly Cloudy,71,Natural,Outdoor,0
DB,Partly Cloudy,76,Natural,Open,0
LB,Sunny,46,Synthetic,Outdoor,0
LB,cloudy,48,Natural,Outdoor,0
WR,Party Cloudy,51,Natural,Outdoors,0
OL,Partly Cloudy,72,Natural,Outdoor,0
DB,Partly Cloudy,89,Synthetic,Retractable Roof,0
LB,Partly Cloudy,33,Natural,Outdoor,0
DB,Cloudy,42,Synthetic,Outdoors,0
OL,Cloudy,23,Natural,Outdoor,0
DB,Clear Skies,48,Natural,Outdoors,0
OL,Cloudy,33,Synthetic,Outdoors,0
DB,Sunny,60,Natural,Outdoor,0
WR,Cloudy,35,Natural,Outdoor,0
DL,Clear skies,74,Synthetic,Indoor,0
WR,Sunny,83,Natural,Outdoors,0
WR,Cloudy,48,Natural,Outdoor,0
WR,Partly Clouidy,60,Natural,Outdoor,0
OL,Cloudy,79,Natural,Outdoor,0
QB,Partly Cloudy,33,Natural,Outdoor,0
QB,Partly Cloudy,47,Synthetic,Outdoor,0
RB,Clear,61,Synthetic,Outdoor,0
TE,Cloudy,44,Natural,Outdoor,0
LB,Cloudy,44,Synthetic,Outdoors,0
LB,Cold,38,Natural,Outdoor,0
RB,Partly Cloudy,29,Natural,Outdoor,0
LB,Sunny,78,Natural,Outdoors,0
WR,Rain,62,Natural,Outdoor,0
LB,Sunny,70,Natural,Outdoor,0
OL,Controlled Climate,68,Synthetic,Indoors,0
OL,Cloudy,42,Natural,Outdoor,0
RB,Indoors,68,Synthetic,Dome,0
OL,Cloudy,91,Natural,Outdoor,0
QB,Cloudy,77,Synthetic,Indoors,0
OL,Cloudy,65,Natural,Outdoor,0
OL,Controlled Climate,68,Synthetic,Indoors,0
WR,Cloudy,65,Natural,Outdoor,0
OL,Cold,38,Natural,Outdoor,0
WR,Cloudy,47,Natural,Outdoors,0
DB,Cloudy,35,Synthetic,Outdoor,0
DB,Cloudy,42,Natural,Outdoors,0
DL,Clear,90,Synthetic,Indoors,0
TE,Sunny,72,Natural,Outdoors,0
WR,Sunny,60,Synthetic,Retractable Roof,0
LB,Cloudy,48,Synthetic,Outdoor,0
OL,Partly Cloudy,86,Natural,Outdoor,0
DL,Sunny Skies,57,Natural,Outdoor,0
DB,Sunny and warm,65,Synthetic,Outdoor,0
WR,Clear and warm,63,Synthetic,Outdoor,0
DL,Mostly cloudy,48,Synthetic,Outdoors,0
QB,Clear and cold,40,Synthetic,Outdoor,0
OL,Clear,82,Natural,Dome,0
WR,Controlled Climate,68,Synthetic,Indoors,0
OL,Partly Cloudy,86,Natural,Outdoor,0
WR,Cloudy,45,Synthetic,Outdoor,0
DL,Cloudy,23,Natural,Outdoor,0
OL,Indoor,70,Synthetic,Indoors,0
DB,Sunny,51,Natural,Outdoors,0
TE,Cloudy,33,Natural,Outdoor,0
RB,Rain,63,Synthetic,Outdoor,0
DB,Sunny,61,Synthetic,Outdoor,0
LB,Cloudy,42,Natural,Outdoors,0
DB,Rainy,46,Synthetic,Retractable Roof,0
DB,Partly Cloudy,33,Natural,Outdoor,0
DB,Clear,82,Natural,Outdoor,0
LB,"Cloudy, fog started developing in 2nd quarter",56,Synthetic,Outdoor,0
WR,Partly Cloudy,78,Synthetic,Retractable Roof,0
DB,Partly Cloudy,84,Synthetic,Indoors,0
LB,Partly Cloudy,42,Natural,Outdoors,0
DB,Mostly Sunny Skies,73,Natural,Open,0
OL,Cloudy,33,Synthetic,Outdoors,0
DB,Cloudy,42,Natural,Outdoors,0
DB,Cloudy,66,Natural,Outdoor,0
DB,Controlled Climate,68,Synthetic,Indoors,0
WR,Cloudy,42,Synthetic,Retr. Roof-Closed,0
DB,Partly Cloudy,56,Natural,Outdoors,0
DL,"Cloudy, 50% change of rain",55,Synthetic,Outdoor,0
OL,Cloudy,81,Natural,Outdoor,0
RB,Partly Cloudy,48,Natural,Outdoor,0
DB,Fair,45,Natural,Outdoor,0
LB,Cloudy,68,Synthetic,Retr. Roof-Closed,0
DB,Sunny,84,Synthetic,Outdoor,0
LB,Clear,82,Synthetic,Outdoor,0
WR,Cloudy,80,Natural,Outdoor,0
LB,Sunny,68,Natural,Outdoor,0
OL,Cloudy,43,Synthetic,Outdoor,0
DL,Sunny,54,Natural,Outdoor,0
DB,Cloudy,72,Natural,Outdoor,0
DL,Cloudy,42,Synthetic,Retr. Roof - Closed,0
LB,Controlled Climate,68,Synthetic,Indoors,0
OL,Clear,61,Natural,Outdoor,0
DB,Sunny,66,Natural,Outdoors,0
